"","disp","cyl"
"Mazda RX4",-0.570619818667904,-0.104987808575239
"Mazda RX4 Wag",-0.570619818667904,-0.104987808575239
"Datsun 710",-0.990182090888924,-1.22485776671113
"Hornet 4 Drive",0.22009369436402,-0.104987808575239
"Hornet Sportabout",1.04308122833602,1.01488214956065
"Valiant",-0.046166978391628,-0.104987808575239
"Duster 360",1.04308122833602,1.01488214956065
"Merc 240D",-0.677930938293665,-1.22485776671113
"Merc 230",-0.725535119180281,-1.22485776671113
"Merc 280",-0.509299178881755,-0.104987808575239
"Merc 280C",-0.509299178881755,-0.104987808575239
"Merc 450SE",0.363713087547369,1.01488214956065
"Merc 450SL",0.363713087547369,1.01488214956065
"Merc 450SLC",0.363713087547369,1.01488214956065
"Cadillac Fleetwood",1.94675381465822,1.01488214956065
"Lincoln Continental",1.84993175183798,1.01488214956065
"Chrysler Imperial",1.68856164713759,1.01488214956065
"Fiat 128",-1.226589294275,-1.22485776671113
"Honda Civic",-1.25079480998006,-1.22485776671113
"Toyota Corolla",-1.28790993406115,-1.22485776671113
"Toyota Corona",-0.892553177545187,-1.22485776671113
"Dodge Challenger",0.704204008465197,1.01488214956065
"AMC Javelin",0.591244935174923,1.01488214956065
"Camaro Z28",0.962396175985825,1.01488214956065
"Pontiac Firebird",1.36582143773681,1.01488214956065
"Fiat X1-9",-1.22416874270449,-1.22485776671113
"Porsche 914-2",-0.890939476498183,-1.22485776671113
"Lotus Europa",-1.09426580842068,-1.22485776671113
"Ford Pantera L",0.970464681220845,1.01488214956065
"Ferrari Dino",-0.691647397193198,-0.104987808575239
"Maserati Bora",0.567039419469864,1.01488214956065
"Volvo 142E",-0.885291522833669,-1.22485776671113
